Product Name,Image URL,SKU,Categories,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Product_URL
84-28016,https://www.engineeredmarineproducts.com/wp-content/uploads/84-28016.jpg,,"Ignition, Ignition, Ignition Wires",Ignition Wire Set, Replaces: Mercury/Mercruiser: 84-816761Q16 Sierra: 18-8810-1,"Fits Mercruiser 4.3L, V6 GM & MIE engines with Thunderbolt IV/V distributors.","Fits 4.3L, V6 conventional ignition engines.",UPC: 840080441627,,https://www.engineeredmarineproducts.com/product/84-28016/
87-01947,https://www.engineeredmarineproducts.com/wp-content/uploads/87-01947.jpg,,"Electrical, Sensors",Oil Pressure Sender, Replaces: Mercury/Mercruiser: 87-805605A1,Fits sender for Low Oil Pressure Alarm.,UPC: 840080499673,,,https://www.engineeredmarineproducts.com/product/87-01947/
84-28057,https://www.engineeredmarineproducts.com/wp-content/uploads/84-28057.jpg,,"Ignition, Ignition Wires",Ignition Wire Set, Replaces: Mercury/Mercruiser: 84-863656A2 Sierra: 18-8829-1 Volvo: 3888327,"Fits Mercruiser 4.3L, V6 GM & MIE with Delco Vortec distributors.",UPC: 840080424446,,,https://www.engineeredmarineproducts.com/product/84-28057/
84-28056,https://www.engineeredmarineproducts.com/wp-content/uploads/84-28056.jpg,,"Ignition, Ignition Wires",Ignition Wire Set, Replaces: Mercury/Mercruiser: 84-816761Q14 Sierra: 18-8833-1 Volvo: 3888324,"Fits Mercruiser 3.0L, 4-cyl GM & MIE engines with Delco EST distributors.",UPC: 840080403694,,,https://www.engineeredmarineproducts.com/product/84-28056/
84-28024,https://www.engineeredmarineproducts.com/wp-content/uploads/84-28024.jpg,,"Ignition, Ignition Wires",Ignition Wire Set, Replaces: Mercury/Mercruiser: 84-816608Q80 Sierra: 18-8830-1,"Fits Mercruiser 5.7L, V8 GM & MIE engines with Thunderbolt V distributors.",UPC: 840080420417,,,https://www.engineeredmarineproducts.com/product/84-28024/
89-26049,https://www.engineeredmarineproducts.com/wp-content/uploads/89-26049.jpg,89-26049MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 850408,For 1990-98 GM & MIE starters.,also crosses with: ARCO: SW456,UPC: 840080403076,,https://www.engineeredmarineproducts.com/product/89-26049/
87-08107,https://www.engineeredmarineproducts.com/wp-content/uploads/87-08107.jpg,87-08107MCR,"Electrical, Sensors, MerCruiser, Electrical",Ignition Sensor,OEM : Mercury Replaces: Mercury 892150Q02 | 892150A02 | 861780A2 | 861780Q4 | 861780A4 | 91019A6 | 91019A3 | 91019A2,"For 1998-2001  4.3L V6, 115-205 HP | 5.0-8.2L V8, 180-900 Hp GM & MIE engines.","also crosses with: Sierra: 18-5116-1 CDI: E11-0005 GLM: 73120, 73110 Mallory: 9-29804",UPC: 840080417219,,https://www.engineeredmarineproducts.com/product/87-08107/
89-02813,https://www.engineeredmarineproducts.com/wp-content/uploads/89-02813.jpg,89-02813MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 818999A2 | 818999A1,"For 1987-2005 GM & MIE V8, 450-575 Hp",also crosses with: Sierra: 18-5820 ARCO: SW099 GLM: 72380 Mallory: 9-15116,UPC: 840080479361,,https://www.engineeredmarineproducts.com/product/89-02813/
89-26047,https://www.engineeredmarineproducts.com/wp-content/uploads/89-26047.jpg,89-26047MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 18080,"For 1981-98 GM & MIE 4-cyl, 120-190 Hp | V6, 185-205 Hp | V8 200-800 Hp Delco Remy starters.",also crosses with: Sierra: 18-5837 API Marine: SW88 ARCO: SW984 GLM: 72460 Mallory: 9-15102,UPC: 840080456126,,https://www.engineeredmarineproducts.com/product/89-26047/
89-02816,https://www.engineeredmarineproducts.com/wp-content/uploads/89-02816-3.jpg,89-02816MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 76416A1,"For 1971-82 GM & MIE V8, 198-260 Hp",also crosses with: Sierra: 18-5801 API Marine: SW79 ARCO: SW394 GLM: 72360 Mallory: 9-15105 Pleasurecraft: R130001,UPC: 840080414614,,https://www.engineeredmarineproducts.com/product/89-02816-3/
89-02719,https://www.engineeredmarineproducts.com/wp-content/uploads/89-02719.jpg,89-02719MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 96054T | 96054B | 96054 | 91975,"For 1981-2001 GM & MIE V6, 175 Hp | V8, 200-600 Hp",also crosses with: Sierra: 18-5816 API Marine: SW102 ARCO: SW054 GLM: 72390 Mallory: 9-15113,UPC: 840080401072,,https://www.engineeredmarineproducts.com/product/89-02719/
89-02718,https://www.engineeredmarineproducts.com/wp-content/uploads/89-02718.jpg,89-02718MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 96158T | 96158 | 96158B | 94318 | 846070,"For 1980-2010 GM & MIE 4-cyl, 120 Hp | V8, 228-900 Hp",also crosses with: Sierra: 18-5817 API Marine: SW101 ARCO: SW058 GLM: 72400 Mallory: 9-15112,UPC: 840080498607,,https://www.engineeredmarineproducts.com/product/89-02718/
89-00872,https://www.engineeredmarineproducts.com/wp-content/uploads/89-00872.jpg,89-00872MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 33261 | 33316 | 99253 | 89902 | 60687,"For  GM & MIE V8, 228 Hp starters.",also crosses with: Sierra: 18-5838 API Marine: SW90 ARCO: SW975 GLM: 72490 Mallory: 9-15102,UPC: 840080485300,,https://www.engineeredmarineproducts.com/product/89-00872/
89-00812,https://www.engineeredmarineproducts.com/wp-content/uploads/89-00812.jpg,89-00812MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 65057T1 | 65057A1 | 65057 | 54981,"For 1970-89 Ford, GM & MIE  3.7L, 4-cyl, 165-190 Hp | 5.0-5.7L V8, 215-255 Hp",also crosses with: Sierra: 18-5802 API Marine: SW91 ARCO: SW981 GLM: 72410 Mallory: 9-15106,UPC: 840080410708,,https://www.engineeredmarineproducts.com/product/89-00812/
89-00804,https://www.engineeredmarineproducts.com/wp-content/uploads/89-00804.jpg,89-00804MCR,"Electrical, MerCruiser, Solenoids, Electrical",Solenoid,OEM : Mercury Replaces: Mercury 25661T1 | 256611 | 25661,"For 1963-2004 GM & MIE 4-cyl, 120-140 Hp | V6, 185-205 Hp | V8] 225-900 Hp",also crosses with: Sierra: 18-5836 API Marine: SW78 ARCO: SW661 GLM: 72480 Mallory: 9-15103,UPC: 840080422978,,https://www.engineeredmarineproducts.com/product/89-00804/
87-09056,https://www.engineeredmarineproducts.com/wp-content/uploads/87-09056.jpg,,"Electrical, Sensors",Oil Pressure Warning Switch, Replaces: Mercury/Mercruiser: 805605A1,0,UPC: 840080499758,,,https://www.engineeredmarineproducts.com/product/87-09056/
91-91001,https://www.engineeredmarineproducts.com/wp-content/uploads/91-91001.jpg,,"Tools, Tools",Hinge Pin Tool, Replaces: GLM: 90200 Mercury/Mercruiser: 91-78310 Sierra: 18-9861,"Fits Mercruiser MC-1, R/ MR/Alpha One, Alpha Gen II & Bravo I, II, III.",UPC: 840080499949,,,https://www.engineeredmarineproducts.com/product/91-91001/
93-01847,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01847.jpg,93-01847MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Engine Coupler,OEM : Mercury Replaces: Mercury 14505A2,For 1986-91  R/MR/Alpha One 4.3L V6 & 5.0-5.78L V8 engines. NOTE: For replacing a 2 piece rear main seal with a single piece rear main seal.,also crosses with: Sierra: 18-2172 GLM: 11520 Mallory: 9-72500,UPC: 840080465593,,https://www.engineeredmarineproducts.com/product/93-01847/
87-09050,https://www.engineeredmarineproducts.com/wp-content/uploads/87-09050.jpg,,"Electrical, Sensors",Oil Pressure Switch," Replaces: Mercury/Mercruiser: 87-864252, 87-8M0070108","Fits 4.3L, 5.0L, 5.7L (1992-98) engines.",UPC: 840080499680,,,https://www.engineeredmarineproducts.com/product/87-09050/
93-01813,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01813.jpg,93-01813MCR,"Gearcase Components, MerCruiser, Gearcase, Other Components, Gearcase",Water Housing Kit,OEM : Mercury Replaces: Mercury 42724A3 | 54235A2 | 32489A2 | 32489,For 1963-91  R/MR/Alpha One  gearcases.,also crosses with: Sierra: 18-3219 GLM: 12200 Mallory: 9-78139,UPC: 840080446226,,https://www.engineeredmarineproducts.com/product/93-01813/
93-01762,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01762.jpg,93-01762MCR,"Bellow Shift, MerCruiser, Transom Components, Transom Components",Shaft Assembly,OEM : Mercury Replaces: Mercury 45589A3 | 45589A1,For 1983-91  R/MR/Alpha One & Alpha Gen II bell housing.,also crosses with: Sierra: 18-2169 GLM: 21420 Mallory: 9-72475,UPC: 840080478586,,https://www.engineeredmarineproducts.com/product/93-01762/
93-01446,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01446.jpg,93-01446MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Engine Coupler,OEM : Mercury Replaces: Mercury 76850A2 | 32492A5 | 38965A2 | 32492A3 | 38965A1 | 32492A2 | 32492A1,For Older model  MC-1 & R/MR/Alpha One drives with older Chevy & GM V6 & V8 engines with 2 pc. rear main seals.,also crosses with: Sierra: 18-2171 GLM: 11500 Mallory: 9-72502,UPC: 840080482484,,https://www.engineeredmarineproducts.com/product/93-01446/
93-01358,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01358.jpg,93-01358MCR,"Bellow Shift, MerCruiser, Transom Components, Transom Components",Shift Arm,OEM : Mercury Replaces: Mercury 45518A3 | 45518A2 | 45518B3 | 45518B2 | 45518A1,For 1983-91/1996-98  R/MR/Alpha One & Alpha Gen II bell housings.,also crosses with: Sierra: 18-2161 GLM: 21140 Mallory: 9-72153,UPC: 840080408279,,https://www.engineeredmarineproducts.com/product/93-01358/
93-00514,https://www.engineeredmarineproducts.com/wp-content/uploads/93-00514.jpg,,"Shift Components, Gearcase",Linkage Bracket Assembly, Replaces: Mercury/Mercruiser: 18351A1,Linkage Bracket Assembly for Transmisson Shift Cable.,UPC: 840080499987,,,https://www.engineeredmarineproducts.com/product/93-00514/
93-00505,https://www.engineeredmarineproducts.com/wp-content/uploads/93-00505.jpg,93-00505MCR,"Shift Components, Shift Shafts, MerCruiser, Gearcase, Gearcase",Shift Shaft,OEM : Mercury Replaces: Mercury 774811 | 77481 | 66066 | 65028 | 37973,"For 1965-91  1 Drive, EZ Shift, MC-1 & R/MR/Alpha One gearcases.",also crosses with: Sierra: 18-2150 GLM: 21030 Mallory: 9-72476,UPC: 840080402208,,https://www.engineeredmarineproducts.com/product/93-00505/
91-91003,https://www.engineeredmarineproducts.com/wp-content/uploads/91-91003.jpg,,"Tools, Tools",Shift Cable Tool Socket, Replaces: GLM: 90110 Mercury/Mercruiser: 91-12037 Sierra: 18-9806,"Fits Mercruiser R/MR, Alpha Gen I & Alpha Gen II.",UPC: 840080499970,,,https://www.engineeredmarineproducts.com/product/91-91003/
93-01848,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01848.jpg,93-01848MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Engine Coupler,OEM : Mercury Replaces: Mercury 59826A3 | 59826A1,For 1971-77  with (any) Ford Engine & GM V6 & V8 engines.,also crosses with: Sierra: 18-2173 GLM: 11510 Mallory: 9-72501,UPC: 840080435961,,https://www.engineeredmarineproducts.com/product/93-01848/
93-00512,https://www.engineeredmarineproducts.com/wp-content/uploads/93-00512.jpg,93-00512MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Mount Assembly,OEM : Mercury Replaces: Mercury 865329A02 | 99297A1,For 1998/2000-09  Alpha Gen II and Bravo inboard gasloine & diesel engine flywheel housings.,also crosses with: Sierra: 18-2193 GLM: 21040 Mallory: 9-58000,UPC: 840080479354,,https://www.engineeredmarineproducts.com/product/93-00512/
93-02685,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02685.jpg,93-02685MCR,"Gearcase Components, MerCruiser, Gearcase, Other Components, Gearcase",Screen,OEM : Mercury Replaces: Mercury 934241 | 934243 | 93424,For 1983-91  R/MR/Alpha One gearcases. Port side.,also crosses with: Sierra: 18-3198 GLM: 21880 Mallory: 9-78114,UPC: 840080419909,,https://www.engineeredmarineproducts.com/product/93-02685/
93-02684,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02684.jpg,93-02684MCR,"Gearcase Components, MerCruiser, Gearcase, Other Components, Gearcase",Screen,OEM : Mercury Replaces: Mercury 934231 | 934233 | 93423,For 1983-91  R/MR/Alpha One gearcases. Starboard side.,also crosses with: Sierra: 18-3199 GLM: 21870 Mallory: 9-78115,UPC: 840080494227,,https://www.engineeredmarineproducts.com/product/93-02684/
93-02674,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02674.jpg,93-02674MCR,"Gearcase Components, MerCruiser, Gearcase, Other Components, Gearcase",Upper Bearing Cap Assembly,OEM : Mercury Replaces: Mercury 94998A4 | 94998A2 | 94998A3 | 94998A1,For 1982-95  R/MR/Alpha One & SSM gearcases.,also crosses with: Sierra: 18-2381 GLM: 28400 Mallory: 9-78121,UPC: 840080482552,,https://www.engineeredmarineproducts.com/product/93-02674/
93-01028,https://www.engineeredmarineproducts.com/wp-content/uploads/93-01028.jpg,93-01028MCR,"Shift Components, Shift Cables, MerCruiser, Gearcase, Gearcase",Shift Slide,OEM : Mercury Replaces: Mercury 8507522 | 8507521 | 33981T1 | 33981T | 33981,"For 1983-94/1998  MC II, R/MR/Alpha One, Alpha One-SS, Alpha One Gen II & SSM shift cables.",also crosses with: Sierra: 18-2162 GLM: 21080 Mallory: 9-72151,UPC: 840080414447,,https://www.engineeredmarineproducts.com/product/93-01028/
93-02673,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02673.jpg,93-02673MCR,"Fasteners, MerCruiser, Nuts, Miscellaneous, Miscellaneous",U-Joint Retainer Nut,OEM : Mercury Replaces: Mercury 8168112 | 8168111 | 66071 | 35992,"For 1983-91/1998  EZ Shift, MC-1, R/MR/Alpha One & Alpha Gen II  U-Joint assemblies.",also crosses with: Sierra: 18-3752 GLM: 28350 Mallory: 9-72154,UPC: 840080497150,,https://www.engineeredmarineproducts.com/product/93-02673/
93-02642,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02642.jpg,93-02642MCR,"Shift Components, Shift Shafts, MerCruiser, Gearcase, Gearcase",Shift Shaft,OEM : Mercury Replaces: Mercury 8M0127949 | 815919A1,For 1990-98  Alpha Gen II transom gearcases.,also crosses with: Sierra: 18-2320 GLM: 21031 Mallory: 9-72477,UPC: 840080428253,,https://www.engineeredmarineproducts.com/product/93-02642/
93-02639,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02639-2.jpg,93-02639MCR,"Bellow Shift, MerCruiser, Transom Components, Transom Components, New",Shift Coupling,OEM : Mercury Replaces: Mercury 43585,For 1998  Vazer bell housing.,also crosses with: Sierra: 18-1730,UPC: 840080479507,,https://www.engineeredmarineproducts.com/product/93-02639-2/
93-02416,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02416.jpg,93-02416MCR,"Shift Components, Shift Shafts, MerCruiser, Gearcase, Gearcase",Shift Spool,OEM : Mercury Replaces: Mercury 818349T1 | 818349A1 | 19755A2 | 66067T | 66067,"For 1994-98  MC-1, R/MR/Alpha One & Alpha Gen II gearcases.",also crosses with: Sierra: 18-2286 GLM: 11030 Mallory: 9-78133,UPC: 840080465265,,https://www.engineeredmarineproducts.com/product/93-02416/
93-02412,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02412.jpg,,"Shift Components, Gearcase",Lube Bottle Kit, Replaces: Mercury/Mercruiser: 806193A48,Fits Mercruiser Alpha Gen II & Bravo (1991-Up.).,UPC: 840080496474,,,https://www.engineeredmarineproducts.com/product/93-02412/
93-02630,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02630.jpg,93-02630MCR,"Shift Components, Shift Shafts, MerCruiser, Gearcase, Gearcase",Shift Crank,OEM : Mercury Replaces: Mercury 8M2009865 | 76865 | 66062,"For 1977-98  MC-1, MC II/TR/TRS, R/MR/Alpha One, Alpha One-SS, Alpha One Gen II, SSM & Vazer transom shift.",also crosses with: Sierra: 18-2130 GLM: 11040 Mallory: 9-78132,UPC: 840080482507,,https://www.engineeredmarineproducts.com/product/93-02630/
93-02694,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02694.jpg,93-02694MCR,"Gearcase Components, MerCruiser, Gearcase, Spacers, Gearcase",Thrust Ring,OEM : Mercury Replaces: Mercury 35915,For 1964-91  R drive propshafts.,also crosses with: Sierra: 18-3759 GLM: 23141,UPC: 840080479286,,https://www.engineeredmarineproducts.com/product/93-02694/
93-91607,https://www.engineeredmarineproducts.com/wp-content/uploads/93-91607.jpg,93-91607MCR,"Gearcase Components, Gearcase, Housings Carriers, MerCruiser, Gearcase",Seal Carrier,OEM : Mercury Replaces: Mercury 86779A1,For various years  Bravo drives. Includes Oil Seal (EMP# 26-01607).,also crosses with: GLM: 28372,UPC: 840080476100,,https://www.engineeredmarineproducts.com/product/93-91607/
93-02635,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02635.jpg,93-02635MCR,"Gearcase Components, Housings Carriers, MerCruiser, Gearcase, Gearcase",Bearing Carrier,OEM : Mercury Replaces: Mercury 818763A10 | 818763A4 | 73020A20,For 1983-98  R/MR/Alpha One/Alpha Gen II standard rotation propshafts.,also crosses with: Sierra: 18-2376 GLM: 11405 Mallory: 9-72602,UPC: 840080489803,,https://www.engineeredmarineproducts.com/product/93-02635/
93-08890,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08890.jpg,,"Engine Components, Timing Covers",Timing Chain Cover," Replaces: Mercury / GM 31028405, 12554555",GM 4.3L V6 w/Sensor 1996-Up Plastic With Sensor Hole,UPC: 840080489575,,,https://www.engineeredmarineproducts.com/product/93-08890/
93-08782,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08782.jpg,93-08782MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",U-Joint,OEM : Mercury Replaces: Mercury 862132T,"For 1998/2002  Bravo, Bravo X, Bravo XR & Bravo XZ U-Joint assemblies.",also crosses with: Sierra: 18-1711,UPC: 840080445663,,https://www.engineeredmarineproducts.com/product/93-08782/
93-08781,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08781.jpg,93-08781MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Short Yoke,OEM : Mercury Replaces: Mercury 866134T,"For 1998/2002  Bravo, Bravo X, Bravo XR & Bravo XZ U-Joint assemblies.",also crosses with:,UPC: 840080425009,,https://www.engineeredmarineproducts.com/product/93-08781/
93-02178,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02178.jpg,93-02178MCR,"Gearcase Components, Housings Carriers, MerCruiser, Gearcase, Gearcase",Bearing Carrier,OEM : Mercury Replaces: Mercury 73020A14 | 73020A1 | 56211A1,"For 1977-94  R/MR/Alpha One, Alpha Gen II, Alpha One-SS & SSM propshafts.",also crosses with: Sierra: 18-2191 Mallory: 9-72601,UPC: 840080425610,,https://www.engineeredmarineproducts.com/product/93-02178/
93-08717,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08717.jpg,93-08717MCR,"Bellow Shift, MerCruiser, Transom Components, Transom Components",Shift Lever Kit,OEM : Mercury Replaces: Mercury 45518T1,"For various year  MC-1, R/MR/Alpha One & Alpha Gen II bell housing.",also crosses with: GLM: 21144,UPC: 840080493855,,https://www.engineeredmarineproducts.com/product/93-08717/
93-08676,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08676.jpg,93-08676MCR,"Gearcase Components, Housings Carriers, MerCruiser, Gearcase, Gearcase",Bearing Carrier,OEM : Mercury Replaces: Mercury 41641A8 | 41641A6 | 41641A2,For 1988-98  Bravo & Bravo X drive propshafts.,also crosses with:,UPC: 840080433936,,https://www.engineeredmarineproducts.com/product/93-08676/
93-08611,https://www.engineeredmarineproducts.com/wp-content/uploads/93-08611.jpg,93-08611MCR,"Gearcase Components, Gearcase, MerCruiser, Spacers, Gearcase",Thrust Ring,OEM : Mercury Replaces: Mercury 681001,For 1982 & later  MR/Alpha One drive propshafts.,also crosses with: Sierra: 18-2342 GLM: 23140 Mallory: 9-78106,UPC: 840080437743,,https://www.engineeredmarineproducts.com/product/93-08611/
93-02724,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02724.jpg,93-02724MCR,"Gearcase Components, MerCruiser, Gearcase, Other Components, Gearcase",Upper Housing Ring,OEM : Mercury Replaces: Mercury 35983,"For 1977-98  MC-1, R/MR/Alpha One, Alpha Gen II & Bravo gearcases.",also crosses with: Sierra: 18-4296 GLM: 28390 Mallory: 9-78105,UPC: 840080440385,,https://www.engineeredmarineproducts.com/product/93-02724/
93-04000,https://www.engineeredmarineproducts.com/wp-content/uploads/93-04000.jpg,93-04000MCR,"Anodes, Gearcase Components, MerCruiser, Gearcase, Gearcase",Anode Trim Tab,OEM : Mercury Replaces: Mercury 31640Q4 | 316404 | 31640B4 | 31640A4 | 316403 | 31640A1 | 72436A1 | 31640 | 31640A2,"For 1962-2013  1 Drive, EZ Shift, MC-1, MC II/TR/TRS, R/MR/Alpha One, Alpha One-SS, Alpha Gen II & SSM gearcases.",also crosses with: Sierra: 18-6011 GLM: 12670,UPC: 840080464190,,https://www.engineeredmarineproducts.com/product/93-04000/
93-02717,https://www.engineeredmarineproducts.com/wp-content/uploads/93-02717.jpg,93-02717MCR,"Gearcase Components, Housings Carriers, MerCruiser, Gearcase, Gearcase",Carrier Assembly,OEM : Mercury Replaces: Mercury 66081A2 | 66081A4 | 66081A1 | 35993A1,For 1964 & later  upper gearcase (drive short yoke seal carrier). Assembled with heavy duty Viton seal (EMP # 26-00508).,also crosses with: Sierra: 18-0577 GLM: 28370 Mallory: 9-78100,UPC: 840080400228,,https://www.engineeredmarineproducts.com/product/93-02717/
93-93203,https://www.engineeredmarineproducts.com/wp-content/uploads/93-93203.jpg,93-93203MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Coupling Assembly,OEM : Mercury Replaces: Mercury 18643A5,"For 1987-09  Alpha One, Alpha Gen II & Bravo (LX model) transom.",also crosses with: Sierra: 18-2323 GLM: 11532 Mallory: 9-72507,UPC: 840080417783,,https://www.engineeredmarineproducts.com/product/93-93203/
94-02421,https://www.engineeredmarineproducts.com/wp-content/uploads/94-02421.jpg,94-02421MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Long Yoke,OEM : Mercury Replaces: Mercury 59830A7 | 59830A1,"For 1971-98  MC-1, R/MR/Alpha One, Alpha Gen II & Blackhawk",also crosses with: Sierra: 18-2146 GLM: 28315 Mallory: 9-72401,UPC: 840080404172,,https://www.engineeredmarineproducts.com/product/94-02421/
94-03800,https://www.engineeredmarineproducts.com/wp-content/uploads/94-03800.jpg,94-03800MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Short Yoke,OEM : Mercury Replaces: Mercury 46020T02 | 46020002 | 460201 | 46020T | 46020 | 39384,"For 1967-97  1 Drive, EZ Shift, MC-1, R/MR/Alpha One, Alpha One-ss, Alpha Gen II & SSM U-Joint assemblies.",also crosses with: Sierra: 18-2125 GLM: 28310 Mallory: 9-72400,UPC: 840080461120,,https://www.engineeredmarineproducts.com/product/94-03800/
94-01821,https://www.engineeredmarineproducts.com/wp-content/uploads/94-01821.jpg,94-01821MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Heavy Duty U-Joint,OEM : Mercury Replaces: Mercury 75832T1 | 75832T | 758321 | 75832B1 | 75832A3 | 75832B | 75832B3 | 75832 | 75832A2 | 75832B2 | 58749 | 36312 | 41431 | 75832A1,"For 1982-98  R/MR/Alpha One, Alpha One-SS, Bravo, Blackhawk & SSM U-Joint assemblies.",also crosses with: Sierra: 18-2174 GLM: 28030 Mallory: 9-72405,UPC: 840080414409,,https://www.engineeredmarineproducts.com/product/94-01821/
94-04819,https://www.engineeredmarineproducts.com/wp-content/uploads/94-04819.jpg,94-04819MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Drive Shaft Assembly,OEM : Mercury Replaces: Mercury 814819A2,For 1971-97  R/MR/Alpha One & Alpha Gen II U-Joint assemblies.,"also crosses with: Sierra: 18-9218 GLM: 28070, 28050 Mallory: 9-72409",UPC: 840080492049,,https://www.engineeredmarineproducts.com/product/94-04819/
94-01440,https://www.engineeredmarineproducts.com/wp-content/uploads/94-01440.jpg,94-01440MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Center Yoke,OEM : Mercury Replaces: Mercury 393831 | 39383T | 39383,"For 1964 & later  Easy Shift, MC II, TR/TRS, MC-1, R/MR/Alpha One, Alpha One-SS, Bravo, Blackhawk, SSM & GM/MIE U-Joint assemblies.",also crosses with: Sierra: 18-2128 GLM: 28100 Mallory: 9-72403,UPC: 840080420066,,https://www.engineeredmarineproducts.com/product/94-01440/
94-03800-SP,https://www.engineeredmarineproducts.com/wp-content/uploads/94-03800-sp.jpg,94-03800-SPMCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components, New",Short Yoke and Seal,OEM : Mercury Replaces: Mercury 46020T02 | 46020002 | 460201 | 46020T | 46020 | 39384,"For 1967-97  1 Drive, EZ Shift, MC-1, R/MR/Alpha One, Alpha One-ss, Alpha Gen II & SSM U-Joint assemblies.",also crosses with: GLM: 28310 Mallory: 9-72400,UPC: 840080433127,,https://www.engineeredmarineproducts.com/product/94-03800-sp/
94-01270,https://www.engineeredmarineproducts.com/wp-content/uploads/94-01270.jpg,94-01270MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Yoke and U-Joint Service Kit,OEM : Mercury Replaces: Mercury n/a,For various years  MR drives (S/N 0B418818 & Below) U-Joint assemblies.,also crosses with:,UPC: 840080419664,,https://www.engineeredmarineproducts.com/product/94-01270/
94-01271,https://www.engineeredmarineproducts.com/wp-content/uploads/94-01271.jpg,94-01271MCR,"MerCruiser, Yoke U-Joint Assemblies, Transom Components, Transom Components",Yoke and U-Joint Service Kit,OEM : Mercury Replaces: Mercury n/a,For various years  MR drives (S/N 0B418819 & later) U-Joint assemblies.,also crosses with:,UPC: 840080458175,,https://www.engineeredmarineproducts.com/product/94-01271/
93-93600,https://www.engineeredmarineproducts.com/wp-content/uploads/93-93600.jpg,93-93600MCR,"Transom Mounts, MerCruiser, Transom Components, Transom Components",Coupling Assembly,OEM : Mercury Replaces: Mercury 12632A6,For 1990-98  Alpha One & Alpha Gen II (LX model) transom.,also crosses with: Sierra: 18-2321 Mallory: 9-72506,UPC: 840080444390,,https://www.engineeredmarineproducts.com/product/93-93600/
93-93210,https://www.engineeredmarineproducts.com/wp-content/uploads/93-93210.jpg,,"Transom Mounts, Transom Components",Engine Coupler, Replaces: Mercury/Mercruiser: 8M0098795 Sierra: 18-2412,"Fits Mercruiser Bravo I, II, III Drives.",UPC: 840080496573,,,https://www.engineeredmarineproducts.com/product/93-93210/
