Part-No,Product,Sub-Title,Photo,Applications,M8/M12 Application,Orientation,No. of Pins,Termination,o-ring,Current Rating,Air- and creepage distance,Gender,Coding,Mating Cycles,Standard,Assembly Height,Max Operating Temp,Configuration,Packaging,Cable Type,Connector left,Connector right,Shield,Anti Twist Protection,Loaded Pins,Material,Color,Data Rate,Transmission Category,Drawing PDF,Drawing DXF,Model 3D,Catalog,Product URL
Part-No. 223771-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/4/1/csm_IM0011703_459d481da5.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005864.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005865.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000699.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223771
Part-No. 223769-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005860.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005861.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000695.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223769
Part-No. 225463-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/0/3/csm_IM0011708_afceb8e4e4.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005860.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005861.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000695.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/225463
Part-No. 223762-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/d/5/csm_IM0011713_7b4b01b612.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005850.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005851.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000690.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223762
Part-No. 223772-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/4/1/csm_IM0011703_459d481da5.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005864.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005865.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000699.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223772
Part-No. 254764-E,M8 Quick Termination Female,"4-pin, A-coding, IDC",https://www.erni.com/fileadmin/_processed_/2/6/csm_IM0011721_3468167da2.png,"I/O Connectors, Cable Connectors,",M8 Cable Connectors,,4,IDC,,4 A,,Female,A,,IEC 61076-2-104,,85 °C,"M8, female",Bag  pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010544.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0000713.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254764
Part-No. 254762-E,M8 Quick Termination Male,"4-pin, A-coding, IDC",https://www.erni.com/fileadmin/_processed_/d/f/csm_IM0011720_4d47efea8d.png,"I/O Connectors, Cable Connectors,",M8 Cable Connectors,,4,IDC,,4 A,,Male,A,,IEC 61076-2-104,,85 °C,"M8, male",Bag  pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010545.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0000714.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254762
Part-No. 515927-E,M12 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,4,THR,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0010913.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/515927
Part-No. 254758-E,M8 Quick Termination Male,"3-pin, A-coding, IDC",https://www.erni.com/fileadmin/_processed_/4/2/csm_IM0011718_a44bc369bf.png,"I/O Connectors, Cable Connectors,",M8 Cable Connectors,,3,IDC,,4 A,,Male,A,,IEC 61076-2-104,,85 °C,"M8, male",Bag 1 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010543.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0000712.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254758
Part-No. 484896-E,M12 Vertical Female,"5-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/5/8/csm_IM0011709_04f71d9ae1.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007724.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007723.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010609.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484896
Part-No. 454003-E,M12 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/d/csm_IM0011737_1fe5bbe2e6.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,4,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007722.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007721.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000723.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/454003
Part-No. 474053-E,M12 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/d/csm_IM0011737_1fe5bbe2e6.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,4,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007592.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007593.ZIP,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/474053
Part-No. 494145-E,M12 Vertical Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/8/2/csm_IM0012184_13dc4512a0.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,THR,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010811.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010810.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010816.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494145
Part-No. 354702-E,M12 Vertical Female,"5-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/5/8/csm_IM0011709_04f71d9ae1.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007724.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007723.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010610.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/354702
Part-No. 454950-E,M12 Vertical Female,"5-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/5/8/csm_IM0011709_04f71d9ae1.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007713.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007714.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000725.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/454950
Part-No. 224064-E,M12 Vertical Female,"5-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/5/8/csm_IM0011709_04f71d9ae1.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007713.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007714.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000725.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/224064
Part-No. 515928-E,M12 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,4,THR,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0010914.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/515928
Part-No. 494023-E,M12 Vertical Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/8/2/csm_IM0012184_13dc4512a0.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,THR,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010811.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010810.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010815.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494023
Part-No. 354131-E,M12 Vertical Female,"8-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/1/c/csm_IM0011729_c2252753c4.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,8,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007719.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007718.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000726.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/354131
Part-No. 394305-E,M12 Vertical Female,"8-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/a/f/csm_IM0011733_24399253c0.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,8,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007110.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007109.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0009182.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/394305
Part-No. 494166-E,M12 Vertical Female,"8-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/a/f/csm_IM0011733_24399253c0.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,8,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007110.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007109.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010072.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494166
Part-No. 484074-E,M12 Vertical Female,"12-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/b/5/csm_IM0011744_8741692ff7.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,12,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010118.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0011291.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010124.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484074
Part-No. 484069-E,M12 Vertical Female,"12-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/b/5/csm_IM0011744_8741692ff7.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,12,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,Yes,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010116.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010121.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010122.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484069
Part-No. 484931-E,M12 Vertical Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,THR,,4.8 A,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,Yes,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010812.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010807.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010814.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484931
Part-No. 454952-E,M12 Vertical Female,"8-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/1/c/csm_IM0011729_c2252753c4.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,8,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007719.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007718.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000726.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/454952
Part-No. 484071-E,M12 Vertical Female,"17-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/6/d/csm_IM0011745_d679bb8104.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,17,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,Yes,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010117.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010120.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010123.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484071
Part-No. 484076-E,M12 Vertical Female,"17-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/6/d/csm_IM0011745_d679bb8104.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,17,SMT,,,,Female,A,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010119.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0011292.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010125.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484076
Part-No. 254206-E,M12 Vertical Female,"5-pin, B-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/6/csm_IM0011717_e38b095954.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,B,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007716.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007715.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000729.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254206
Part-No. 454951-E,M12 Vertical Female,"5-pin, B-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/6/csm_IM0011717_e38b095954.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,B,100,IEC 61076-2-101,9/13 mm,,"M12, female",Tape and reel with pad 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007716.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007715.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000729.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/454951
Part-No. 384891-E,M12 Vertical Female,"5-pin, B-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/6/csm_IM0011717_e38b095954.png,"I/O Connectors, ,",M12 PCB Connectors,Vertical,5,SMT,,4.8 A,,Female,B,100,IEC 61076-2-101,9/13 mm,,"M12, female machined contacts",Tape and reel 100 pcs,,,,No,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010570.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0010569.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0010845.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/384891
Part-No. 225276-E,M12 Right Angle Female,"4-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,4,THR,No,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,Yes,No,"1, 2, 3, 4",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007834.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225276
Part-No. 225274-E,M12 Right Angle Female,"4-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/3/7/csm_IM0011715_69b3171783.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,4,THR,No,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007832.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225274
Part-No. 235164-E,M12 Right Angle Female,"5-pin, A-coding, THR",https://www.erni.com/typo3temp/assets/_processed_/b/5/csm_no_picture_available_13b518af2c.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,Yes,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,Yes,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0010637.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/235164
Part-No. 225278-E,M12 Right Angle Female,"5-pin, B-coding, THR",https://www.erni.com/fileadmin/_processed_/4/3/csm_IM0011924_536f07e74d.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,No,,,Female,B,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007821.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007837.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225278
Part-No. 225275-E,M12 Right Angle Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,No,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,Yes,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007833.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225275
Part-No. 225273-E,M12 Right Angle Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/5/b/csm_IM0011714_f7f476e8cb.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,No,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007831.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225273
Part-No. 225458-E,M12 Right Angle Female,"4-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/f/1/csm_IM0011936_ce6f481f3f.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,4,THR,Yes,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007836.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225458
Part-No. 225457-E,M12 Right Angle Female,"5-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/f/9/csm_IM0011935_259617414c.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,Yes,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007820.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007835.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225457
Part-No. 225280-E,M12 Right Angle Female,"5-pin, B-coding, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,No,4.8 A,,Female,B,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,Yes,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007821.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007838.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225280
Part-No. 225300-E,M12 Right Angle Female,"8-pin, A-coding, THR",https://www.erni.com/fileadmin/_processed_/c/c/csm_IM0011930_fceee03ffe.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,8,THR,No,,,Female,A,100,IEC 61076-2-101,Angled,,Rear mount,Tape and reel,,,,No,No,"1, 2, 3, 4, 5, 6, 7, 8",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0009073.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0009085.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225300
Part-No. 225303-E,M12 Right Angle Female DI,"8-pin, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,8,THR,No,,,Female,,100,IEC 61076-2-101,Angled,,Rear mount DI,Tape and reel,,,,No,Yes,"1, 2, 3, 4, 5, 6, 7, 8",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0009052.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0009089.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225303
Part-No. 225287-E,M12 Right Angle Female DI,"4-pin, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,4,THR,No,4.8 A,,Female,,100,IEC 61076-2-101,Angled,,Rear mount DI,Tape and reel,,,,No,Yes,"1, 2, 3, 4",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007823.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007845.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225287
Part-No. 225288-E,M12 Right Angle Female DI,"5-pin, THR",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M12 PCB Connectors,Right angle,5,THR,No,4.8 A,,Female,,100,IEC 61076-2-101,Angled,,Rear mount DI,Tape and reel,,,,Yes,No,"1, 2, 3, 4, 5",,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007823.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0007844.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007927.PDF,https://www.erni.com/en/products-and-solutions/detail/225288
