Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins inside distance,275,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Angel Pacheco,285,1,260,-1,285,1,260,1,240,1,250,1,285,1,266,1,289,1,250,1,270,-1,265,1,235,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Caolan Loughran,-350,-1,-325,1,-361,-1,-350,-1,-375,-1,-350,-1,-321,1,-344,-1,-346,-1,-335,-1,-355,-1,-370,-1,-350,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Over 2.5 rounds,-105,-1,-105,-1,,,-105,0,-105,-1,-105,-1,-111,0,101,-1,-101,-1,,,-105,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Under 2.5 rounds,-125,1,-125,1,,,-125,0,-125,1,-125,1,-111,0,-123,1,-120,1,,,-125,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Fight goes the distance,135,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Fight ends inside distance,-165,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins inside distance,400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins inside distance,100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins by decision,600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins by decision,600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins by decision,600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins by TKO/KO,-125,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins by TKO/KO,350,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins by submission,725,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins by decision,250,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins by TKO/KO,600,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins by TKO/KO,135,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins by submission,1100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins by submission,525,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 1,800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 1,300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 2,1200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 2,400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 3,1600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 3,500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco wins in round 1 - KO, TKO or DQ",1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins by submission,1600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 1,120,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 1,700,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 2,600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 2,900,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 3,900,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 3,1200,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani wins in round 1 - KO, TKO or DQ",155,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee wins in round 1 - KO, TKO or DQ",900,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani wins in round 2 - KO, TKO or DQ",700,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee wins in round 2 - KO, TKO or DQ",1200,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran wins in round 1 - KO, TKO or DQ",425,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco wins in round 2 - KO, TKO or DQ",1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran wins in round 2 - KO, TKO or DQ",575,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco wins in round 3 - KO, TKO or DQ",2200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Pacheco doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran wins in round 3 - KO, TKO or DQ",700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran","Loughran doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 1 - Submission,2500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 1 - Submission,1200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 2 - Submission,3300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 2 - Submission,1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco wins in round 3 - Submission,4000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Pacheco doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran wins in round 3 - Submission,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Loughran doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani wins in round 3 - KO, TKO or DQ",1200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","Njokuani doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee wins in round 3 - KO, TKO or DQ",1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee","McKee doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 1 - Submission,1600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 1 - Submission,3000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 2 - Submission,2200,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 2 - Submission,4000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins in round 3 - Submission,3000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee wins in round 3 - Submission,4500,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",McKee doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Chidi Njokuani (scorecards = no action),-260,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Rhys McKee (scorecards = no action),200,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Angel Pacheco (scorecards = no action),300,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Angel Pacheco , Caolan Loughran",Caolan Loughran (scorecards = no action),-400,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Connor Matthews,108,-1,105,-1,108,1,-100,-1,105,-1,100,-1,104,-1,108,-1,110,1,104,-1,110,1,-102,-1,100,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Dennis Buzukia,-128,1,-125,1,-124,-1,-125,1,-135,1,-130,1,-126,1,-130,1,-122,-1,-129,1,-130,-1,-125,1,-130,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Over 2.5 rounds,-160,-1,-165,-1,,,-150,0,-160,-1,-160,-1,-163,-1,-157,-1,-161,-1,,,-166,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Under 2.5 rounds,130,1,125,1,,,110,0,130,1,130,1,131,1,129,1,132,1,,,130,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Fight goes the distance,-130,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Fight ends inside distance,100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins inside distance,300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins inside distance,225,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins by decision,250,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins by decision,200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins by TKO/KO,550,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins by TKO/KO,350,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins by submission,600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins by submission,900,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 1,700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 1,550,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 2,900,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 2,700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 3,1200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 3,1000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews wins in round 1 - KO, TKO or DQ",1250,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia wins in round 1 - KO, TKO or DQ",800,0,,,,,,,,,,,,,,,,,,,,,,,,
