Name,Item#,Brand,Price ($),Details,Features,More Information,No of Reviews,Reviews
Full Electric Bariatric Bed - 54,059 0056,Drive,4148.100000,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15303, 15303BV-1HR, 15303BV-PKG",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,2082.11,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,1893.490000,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,1893.49,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
ELECTRIC BARC BED 42,059 0055,Drive,3175.000000,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,2018.670000,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
AliMed® Bariatric Bed Pan with Anti-Splash - 1200 lb. Capacity - Each,178 0122,AliMed,$44.76,"Bariatric, pediatric, and fracture—all in one!,The ,AliMed® Bariatric Bed Pan with Anti-Splash , supports up to 1,200 pounds and holds over 2 quarts of fluid. Designed for patient comfort, the durable, contoured finish is autoclavable. Unlike standard bed pans, AliMed's Bariatric Bed Pan has a low 1/2"" rim at the back of the pan for easy insertion and removal, helping to ease strain on nurses’ backs while increasing patient comfort. Steam autoclavable up to 220°F or sanitize using standard facility cleaning and sanitizing protocols. ,Additional Features:,14-1/4""W x 15""L x 3""H
,1/2""H rim at lowest edge
,2-qt. capacity
,1,200-lb. weight capacity
,High-impact polyethylene
,Cleaning and care instructions included
","Stronger, wider, and easier to use than other bed pans
,1,200-lb. weight capacity
,Wider seat for better patient comfort
,Easy placement, easy removal
,Anti-splash, anti-spill
,Fully autoclavable and reusable
","Brand Name,AliMed,Manufacturer Number,711255",,Be the first to review this product
"ProBasics Junior Rollator with 6-inch Wheels, Burgundy,",776 6173,Compass Health Brands,$127.51,"The ProBasics Junior Rollator is designed to fit individuals of shorter stature with a focus on style and affordability. Constructed of lightweight aluminum, it offers great maneuverability and stability. Equipped with easy-to-operate ergonomic hand brakes, a removable padded backrest and a water-resistant nylon pouch. Easily folds for storage and transport with built-in fold strap. Supports patient weights up to 250 pounds.","Two-button removable curved padded backrest,Comfortable, flip-up padded seat,Easy-to-operate ergonomic hand brakes,Height-adjustable for a custom fit,Water-resistant nylon pouch attaches under seat for added privacy and security of personal items,Equipped with a folding mechanism for easy storage and transport,Non-marring 6-inch black casters with soft grip tires, ideal for both indoor and outdoor use","Brand Name,Compass Health Brands,Manufacturer Number,RLAJ6BG",,Be the first to review this product
Full Electric Bariatric Bed - 54,059 0056,Drive,4148.1,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15303, 15303BV-1HR, 15303BV-PKG",,Be the first to review this product
Full Electric Bariatric Bed - 54,059 0056,Drive,4148.1,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15303, 15303BV-1HR, 15303BV-PKG",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,2018.67,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
Full Electric Bariatric Bed - 42,059 0055,Drive,2018.67,"
The ,Full Electric Bariatric Bed, by Drive Medical is a versatile, heavy-duty hospital bed. It has an electric motor, allowing the bed to be adjusted easily by the patient. It features a channel frame construction which provides superior strength and reduced weight. The best part is that the individual pieces are ""universal"" in that they can be interchanged with parts from several other brands of hospital beds. Two sizes are available, please ensure you choose the correct version. Each size also has hand rail options and mattress options. You can choose 1 set of 2 hand rails, or 2 sets of 2 bed rails, or even a fitted mattress and 1 set of hand rails. Complete the bed at once and purchase the entire bedding package!
,Quiet, smooth operation.,Heavy duty frame ensures strength and patient safety.,All steel construction.,Larger sleep surface than conventional bed.,Split pan design with removable bed ends is easy to set-up.,No tools necessary for set-up.,Hand control (included) provides for multiple bed positioning for patients.,Low air loss/alternating pressure mattress available.,Emergency manual crank included.,Weight Capacity: 1000 lbs.,Warranty: (Original purchaser) Lifetime on welds, 5 years on frame, 1 year on all other parts and components.","600 or 1000 pound weight capacity
,No mattress or bed rails
,Quiet, smooth operation
","Brand Name,Drive,Manufacturer Number,15300BV-PKG, 15300, 15300BV-1HR",,Be the first to review this product
"Bariatric Multifold Ramp, 800 lb Capacity - Size 5' x 36",779 0423,Prairie View,439.390000,"The ,Bariatric Multifold Ramp, separates into two pieces for easy carrying and has a patented center joint hinge that eliminates pinch. The Multifold is designed to accommodate wheelchairs and scooters with various wheel configurations. This heavy-duty ramp folds in half, carries like a suitcase and is constructed with durable welded fabrication. The Bariatric Multifold Ramp features a visual aid to determine if ramp is on a safe slope prior to use.,Bariatric Multifold Ramp Features,Separates into Two Pieces for Easy Carrying,Patented Center Joint Hinge Eliminates Pinch Point and Adds Strength,Folds, Carries Like a Suitcase,Safety Guide Indicates if Ramp is on a Safe Slope,Closure Strap Locks Ramp Panels Together,Anti-Slip High Traction Surface,Durable Welded Construction,Safety DVD and Steel Security Pins Included,Accommodates Wheelchairs and Scooters With Various Wheel Configurations,Bariatric Multifold Ramp Sizing Chart","Separates into Two Pieces for Easy Carrying,Safety Guide Indicates if Ramp is on a Safe Slope,Safety DVD and Steel Security Pins Included","Brand Name,Prairie View,Manufacturer Number,BAR536, BAR636, BAR736, BAR836",1,
Leader Bariatric Back/Abdominal Support - White +1,178 5008,Invacare® Supply Group,134.860000,"Bariatric Back Support, is not just an oversized belt! Designed to provide abdominal & lumbar support. Abdominal pad lifts & contains the abdomen. Heat moldable insert supports the spine & transfers the load evenly and comfortably. Measure circumference of abdomen: 45 - 55"", 55 - 65"", 65 - 75"". Latex-Free. Made in the U.S.A.","Hand wash and air-dry,Reduce low back pain","Brand Name,Invacare® Supply Group,Manufacturer Number,4915302",1,
"Bariatric Multifold Ramp, 800 lb Capacity - Size 6' x 36",779 0423,Prairie View,480.190000,"The ,Bariatric Multifold Ramp, separates into two pieces for easy carrying and has a patented center joint hinge that eliminates pinch. The Multifold is designed to accommodate wheelchairs and scooters with various wheel configurations. This heavy-duty ramp folds in half, carries like a suitcase and is constructed with durable welded fabrication. The Bariatric Multifold Ramp features a visual aid to determine if ramp is on a safe slope prior to use.,Bariatric Multifold Ramp Features,Separates into Two Pieces for Easy Carrying,Patented Center Joint Hinge Eliminates Pinch Point and Adds Strength,Folds, Carries Like a Suitcase,Safety Guide Indicates if Ramp is on a Safe Slope,Closure Strap Locks Ramp Panels Together,Anti-Slip High Traction Surface,Durable Welded Construction,Safety DVD and Steel Security Pins Included,Accommodates Wheelchairs and Scooters With Various Wheel Configurations,Bariatric Multifold Ramp Sizing Chart","Separates into Two Pieces for Easy Carrying,Safety Guide Indicates if Ramp is on a Safe Slope,Safety DVD and Steel Security Pins Included","Brand Name,Prairie View,Manufacturer Number,BAR536, BAR636, BAR736, BAR836",1,
"Bariatric Multifold Ramp, 800 lb Capacity - Size 7' x 36",779 0423,Prairie View,558.640000,"The ,Bariatric Multifold Ramp, separates into two pieces for easy carrying and has a patented center joint hinge that eliminates pinch. The Multifold is designed to accommodate wheelchairs and scooters with various wheel configurations. This heavy-duty ramp folds in half, carries like a suitcase and is constructed with durable welded fabrication. The Bariatric Multifold Ramp features a visual aid to determine if ramp is on a safe slope prior to use.,Bariatric Multifold Ramp Features,Separates into Two Pieces for Easy Carrying,Patented Center Joint Hinge Eliminates Pinch Point and Adds Strength,Folds, Carries Like a Suitcase,Safety Guide Indicates if Ramp is on a Safe Slope,Closure Strap Locks Ramp Panels Together,Anti-Slip High Traction Surface,Durable Welded Construction,Safety DVD and Steel Security Pins Included,Accommodates Wheelchairs and Scooters With Various Wheel Configurations,Bariatric Multifold Ramp Sizing Chart","Separates into Two Pieces for Easy Carrying,Safety Guide Indicates if Ramp is on a Safe Slope,Safety DVD and Steel Security Pins Included","Brand Name,Prairie View,Manufacturer Number,BAR536, BAR636, BAR736, BAR836",1,
"Bariatric Multifold Ramp, 800 lb Capacity - Size 8' x 36",779 0423,Prairie View,627.690000,"The ,Bariatric Multifold Ramp, separates into two pieces for easy carrying and has a patented center joint hinge that eliminates pinch. The Multifold is designed to accommodate wheelchairs and scooters with various wheel configurations. This heavy-duty ramp folds in half, carries like a suitcase and is constructed with durable welded fabrication. The Bariatric Multifold Ramp features a visual aid to determine if ramp is on a safe slope prior to use.,Bariatric Multifold Ramp Features,Separates into Two Pieces for Easy Carrying,Patented Center Joint Hinge Eliminates Pinch Point and Adds Strength,Folds, Carries Like a Suitcase,Safety Guide Indicates if Ramp is on a Safe Slope,Closure Strap Locks Ramp Panels Together,Anti-Slip High Traction Surface,Durable Welded Construction,Safety DVD and Steel Security Pins Included,Accommodates Wheelchairs and Scooters With Various Wheel Configurations,Bariatric Multifold Ramp Sizing Chart","Separates into Two Pieces for Easy Carrying,Safety Guide Indicates if Ramp is on a Safe Slope,Safety DVD and Steel Security Pins Included","Brand Name,Prairie View,Manufacturer Number,BAR536, BAR636, BAR736, BAR836",1,
"Bariatric Multifold Ramp, 800 lb Capacity - Size 8' x 36",779 0423,Prairie View,627.690000,"The ,Bariatric Multifold Ramp, separates into two pieces for easy carrying and has a patented center joint hinge that eliminates pinch. The Multifold is designed to accommodate wheelchairs and scooters with various wheel configurations. This heavy-duty ramp folds in half, carries like a suitcase and is constructed with durable welded fabrication. The Bariatric Multifold Ramp features a visual aid to determine if ramp is on a safe slope prior to use.,Bariatric Multifold Ramp Features,Separates into Two Pieces for Easy Carrying,Patented Center Joint Hinge Eliminates Pinch Point and Adds Strength,Folds, Carries Like a Suitcase,Safety Guide Indicates if Ramp is on a Safe Slope,Closure Strap Locks Ramp Panels Together,Anti-Slip High Traction Surface,Durable Welded Construction,Safety DVD and Steel Security Pins Included,Accommodates Wheelchairs and Scooters With Various Wheel Configurations,Bariatric Multifold Ramp Sizing Chart","Separates into Two Pieces for Easy Carrying,Safety Guide Indicates if Ramp is on a Safe Slope,Safety DVD and Steel Security Pins Included","Brand Name,Prairie View,Manufacturer Number,BAR536, BAR636, BAR736, BAR836",1,
Bariatric Back Support - 55,178 5008,Invacare® Supply Group,132.230000,"Bariatric Back Support, is not just an oversized belt! Designed to provide abdominal & lumbar support. Abdominal pad lifts & contains the abdomen. Heat moldable insert supports the spine & transfers the load evenly and comfortably. Measure circumference of abdomen: 45 - 55"", 55 - 65"", 65 - 75"". Latex-Free. Made in the U.S.A.","Hand wash and air-dry,Reduce low back pain","Brand Name,Invacare® Supply Group,Manufacturer Number,4915302",1,
Leader Bariatric Back/Abdominal Support - White +3,178 5008,Invacare® Supply Group,116.380000,"Bariatric Back Support, is not just an oversized belt! Designed to provide abdominal & lumbar support. Abdominal pad lifts & contains the abdomen. Heat moldable insert supports the spine & transfers the load evenly and comfortably. Measure circumference of abdomen: 45 - 55"", 55 - 65"", 65 - 75"". Latex-Free. Made in the U.S.A.","Hand wash and air-dry,Reduce low back pain","Brand Name,Invacare® Supply Group,Manufacturer Number,4915302",1,
Leader Bariatric Back/Abdominal Support - White +3,178 5008,Invacare® Supply Group,116.380000,"Bariatric Back Support, is not just an oversized belt! Designed to provide abdominal & lumbar support. Abdominal pad lifts & contains the abdomen. Heat moldable insert supports the spine & transfers the load evenly and comfortably. Measure circumference of abdomen: 45 - 55"", 55 - 65"", 65 - 75"". Latex-Free. Made in the U.S.A.","Hand wash and air-dry,Reduce low back pain","Brand Name,Invacare® Supply Group,Manufacturer Number,4915302",1,
Long-Handle Toenail Clippers - Each,141 5078,Sammons Preston,$110.62,"Due to hygienic reasons, this item is non-returnable!","Effective device for people with limited mobility,Trigger action gives increased leverage,Can be used with right or left hand,18"" long toenail clipper,Latex free","Brand Name,Sammons Preston,Manufacturer Number,2075,Body Part,Toes",,Be the first to review this product
"Digital 2-Piece Platform Scale with Remote Display, 400 lb Capacity - Health o Meter Digital 2-Piece Platform Scale with Remote Display",741 5002,Health O Meter,$331.07,"The ,Health-o-Meter Digital 2-Piece Platform Scale, comes with a remote display. Two-piece digital scale with remote LCD display features: Non-slip mat on 12"" x 12"" heavy duty steel platform; 9' cord allows easy, safe positioning of the display on the wall or on a table (enclosed table-top bracket); 1/2"" LCD displays weight; Features zero setting; RS232 serial port; Operates on one 9V battery (included) and 120V AC adapter; Capacity: 400 lbs x 0.2 lb; 181 kg x 0.05 kg. 1 year limited warranty. White with black mat. Scale Dimensions: 12"" x 12"" x 2-1/2"". Shipping Weight: 24 lbs.",,"Brand Name,Health O Meter,Manufacturer Number,349KLX",,Be the first to review this product
Bariatric Steel Forearm Crutches - 500 lbs Weight Capacity - 1 pair,762 0068,Drive,$88.87,"The ,Bariatric Steel Forearm Crutches, feature vinyl coated cuff for added comfort and durable vinyl hand grips. They have an extra wide tip for more stability, and are made to support up to 500 pounds and weigh 5.7 lbs each. They are durable and made to last a lifetime. Comes in a set of 2.","Designed for bariatric persons,Crutch weighs approximately 5.7 lbs.,500 lb. weight capacity","Brand Name,Drive,Manufacturer Number,10403HD",4,
Long-Handle Toenail Clippers - Each,141 5078,Sammons Preston,$110.62,"Due to hygienic reasons, this item is non-returnable!","Effective device for people with limited mobility,Trigger action gives increased leverage,Can be used with right or left hand,18"" long toenail clipper,Latex free","Brand Name,Sammons Preston,Manufacturer Number,2075,Body Part,Toes",,Be the first to review this product
"Digital 2-Piece Platform Scale with Remote Display, 400 lb Capacity - Health o Meter Digital 2-Piece Platform Scale with Remote Display",741 5002,Health O Meter,$331.07,"The ,Health-o-Meter Digital 2-Piece Platform Scale, comes with a remote display. Two-piece digital scale with remote LCD display features: Non-slip mat on 12"" x 12"" heavy duty steel platform; 9' cord allows easy, safe positioning of the display on the wall or on a table (enclosed table-top bracket); 1/2"" LCD displays weight; Features zero setting; RS232 serial port; Operates on one 9V battery (included) and 120V AC adapter; Capacity: 400 lbs x 0.2 lb; 181 kg x 0.05 kg. 1 year limited warranty. White with black mat. Scale Dimensions: 12"" x 12"" x 2-1/2"". Shipping Weight: 24 lbs.",,"Brand Name,Health O Meter,Manufacturer Number,349KLX",,Be the first to review this product
Bariatric Steel Forearm Crutches - 500 lbs Weight Capacity - 1 pair,762 0068,Drive,$88.87,"The ,Bariatric Steel Forearm Crutches, feature vinyl coated cuff for added comfort and durable vinyl hand grips. They have an extra wide tip for more stability, and are made to support up to 500 pounds and weigh 5.7 lbs each. They are durable and made to last a lifetime. Comes in a set of 2.","Designed for bariatric persons,Crutch weighs approximately 5.7 lbs.,500 lb. weight capacity","Brand Name,Drive,Manufacturer Number,10403HD",4,
"Excel Extra-Wide Bariatric Wheelchair, 24"" Wide - Each",777 0137,Excel,$562.26,"The ,Medline Excel Extra-Wide Bariatric Wheelchair, have a carbon steel frame with chip-resistant chrome plating. Threaded seat screw inserts minimize stripping from upholstery changes. Sealed bearings in fork housing, rear wheels and front wheels keep dirt out and are maintenance free. Mag-style composite wheels are extremely durable and easy to clean. Heavy-duty fork and welded fork stems prevent wobbling. Offset journals provide a more stable ride.,Excel Extra-Wide Bariatric Wheelchair Features,450 lb weight capacity,24"" wide,Desk length padded armrest,Swing away detachable elevating legrest,Padded, upholstered armrest,Offset journals for a more stable ride,Rugged die-cast aluminum foot plates,Quad-release mechanism on models with swing-away footrest and legrest,Notched stainless steel ratchet bar on the elevating legrest,Color Navy Blue,Limited lifetime warranty on frame and crossframe. One year warranty on upholstery, wheel lock assemblies, wheels, tires, casters, handgrips, legrests, arms, armpads, handrims, quick release, axles, and any other ""wearable"" parts.","450 lb weight capacity,24"" wide,Desk length padded armrest,Swing away detachable elevating legrest","Brand Name,Excel,Manufacturer Number,MDS806950",,Be the first to review this product
"Excel Extra-Wide Bariatric Wheelchair, 24"" Wide - Each",777 0137,Excel,$562.26,"The ,Medline Excel Extra-Wide Bariatric Wheelchair, have a carbon steel frame with chip-resistant chrome plating. Threaded seat screw inserts minimize stripping from upholstery changes. Sealed bearings in fork housing, rear wheels and front wheels keep dirt out and are maintenance free. Mag-style composite wheels are extremely durable and easy to clean. Heavy-duty fork and welded fork stems prevent wobbling. Offset journals provide a more stable ride.,Excel Extra-Wide Bariatric Wheelchair Features,450 lb weight capacity,24"" wide,Desk length padded armrest,Swing away detachable elevating legrest,Padded, upholstered armrest,Offset journals for a more stable ride,Rugged die-cast aluminum foot plates,Quad-release mechanism on models with swing-away footrest and legrest,Notched stainless steel ratchet bar on the elevating legrest,Color Navy Blue,Limited lifetime warranty on frame and crossframe. One year warranty on upholstery, wheel lock assemblies, wheels, tires, casters, handgrips, legrests, arms, armpads, handrims, quick release, axles, and any other ""wearable"" parts.","450 lb weight capacity,24"" wide,Desk length padded armrest,Swing away detachable elevating legrest","Brand Name,Excel,Manufacturer Number,MDS806950",,Be the first to review this product
"Safety Skids Slippers Single Tread , Gray , XXL - Single Tread , Gray , XXL - Case of 48",766 574466 01,Medline,$58.68,"AllegroMedical.com presents The Safety Skids Slippers. Safety Skids Slippers with skid-resistant treading are designed for safety. Constructed with terrycloth on the inside to absorb perspiration and provide added patient comfort. ,Color: Gray,Slipper Size: 2Xl,Inside Slipper Material: Terry Inside,Latex Free: Yes,Slipper Tread Type: Single Tread","Safety Skids Slippers with skid-resistant treading are designed for safety. ,Constructed with terrycloth on the inside to absorb perspiration and provide added patient comfort.","Brand Name,Medline,Manufacturer Number,MDT211218XXLI",,Be the first to review this product
Shower/Commode Chair - Elongated Commode Seat  - Hard Seat Closed Front,179 188858,Healthline,172.500000,"Elongated commode seat,Extra-wide seat - 25"" width, 21"" interior width,Extra-wide zinc-plated casters,Made from durable PVC,No pail,Non-corrosive - won't rust,Mesh vinyl back,
,38.5"" H x 25"" W x 25.5"" D,3"" x 1 1/4"" extra-wide zinc-plated casters,18 3/4"" clearance,Seat depth: 20"",350 lb. weight capacity","38.5 in. H x 25 in. W x 25.5 in. D,350 lb. weight capacity,Lightweight, durable PVC,No pail,Seat depth 20 in.,Wide,Will not rust","Brand Name,Healthline,Manufacturer Number,SC6013W, SC6013W-SSCF, SC6013W-SSOF",,Be the first to review this product
